,AHU1 Lighting,AHU2 Lighting,AHU3 Lighting,AHU4 Lighting,AHU1 Plugs,AHU2 Plugs,AHU3 Plugs,AHU4 Plugs,Trans Fan,Ext Lights
MAX,0.23,1.017,0.37,0.074,0.294,1.838,0.384,0.814,0.418,3.646
1/1/2015 0:00,0,0.015,0,0.065,0.6,0.345,0.147,0.681,0,0.803620406
1/1/2015 1:00,0,0.015,0,0.065,0.599,0.423,0.147,0.682,0,0.786066923
1/1/2015 2:00,0,0.013,0,0.065,0.598,0.457,0.146,0.683,0,0.76083379
1/1/2015 3:00,0,0.014,0,0.065,0.6,0.41,0.146,0.681,0,0.736972024
1/1/2015 4:00,0,0.014,0,0.065,0.598,0.449,0.146,0.683,0,0.735600658
1/1/2015 5:00,0,0.019,0,0.065,0.598,0.449,0.147,0.682,0,0.787986835
1/1/2015 6:00,0.014,0.014,0,0.065,0.599,0.419,0.146,0.683,0,0.839001646
1/1/2015 7:00,0.199,0.21,0.196,0.065,0.607,1.018,0.145,0.688,0,0.885079539
1/1/2015 8:00,0.214,0.919,0.288,0.074,0.632,1.12,0.17,0.693,0,0.173066374
1/1/2015 9:00,0.197,0.865,0.293,0.065,0.701,1.314,0.197,0.693,0,0.104772353
1/1/2015 10:00,0.22,0.968,0.345,0.065,0.733,1.211,0.195,0.694,0,0.016730664
1/1/2015 11:00,0.223,0.982,0.284,0.065,0.73,1.118,0.2,0.692,0,0.016730664
1/1/2015 12:00,0.224,0.997,0.321,0.065,0.742,1.047,0.219,0.693,0,0.01727921
1/1/2015 13:00,0.223,0.976,0.34,0.065,0.748,1.308,0.212,0.695,0,0.01727921
1/1/2015 14:00,0.224,0.991,0.259,0.065,0.758,1.16,0.213,0.699,0,0.017553483
1/1/2015 15:00,0.223,0.984,0.337,0.065,0.779,1.029,0.256,0.695,0,0.017553483
1/1/2015 16:00,0.218,0.962,0.318,0.065,0.793,1.092,0.237,0.695,0,0.01727921
1/1/2015 17:00,0.223,0.949,0.356,0.065,0.786,0.997,0.239,0.696,0,0.256171146
1/1/2015 18:00,0.217,0.928,0.347,0.065,0.726,1.009,0.207,0.693,0,0.936642896
1/1/2015 19:00,0.165,0.624,0.219,0.065,0.682,0.476,0.162,0.692,0,0.91881514
1/1/2015 20:00,0.054,0.024,0.06,0.065,0.652,0.379,0.159,0.688,0,0.928414701
1/1/2015 21:00,0,0,0,0.065,0.624,0.349,0.158,0.687,0,0.909215579
1/1/2015 22:00,0,0,0,0.065,0.621,0.339,0.158,0.687,0,0.836258914
1/1/2015 23:00,0,0,0,0.065,0.617,0.352,0.158,0.687,0,0.849972573
1/2/2015 0:00,0,0.015,0,0.065,0.6,0.345,0.147,0.681,0,0.79621503
1/2/2015 1:00,0,0.015,0,0.065,0.599,0.423,0.147,0.682,0,0.769061986
1/2/2015 2:00,0,0.013,0,0.065,0.598,0.457,0.146,0.683,0,0.796489303
1/2/2015 3:00,0,0.014,0,0.065,0.6,0.41,0.146,0.681,0,0.773450357
1/2/2015 4:00,0,0.014,0,0.065,0.598,0.449,0.146,0.683,0,0.812122874
1/2/2015 5:00,0,0.019,0,0.065,0.598,0.449,0.147,0.682,0,0.823368075
1/2/2015 6:00,0.014,0.014,0,0.065,0.599,0.419,0.146,0.683,0,0.839824465
1/2/2015 7:00,0.199,0.21,0.196,0.065,0.607,1.018,0.145,0.688,0,0.877674163
1/2/2015 8:00,0.214,0.919,0.288,0.074,0.632,1.12,0.17,0.693,0,0.495611629
1/2/2015 9:00,0.197,0.865,0.293,0.065,0.701,1.314,0.197,0.693,0,0.013987932
1/2/2015 10:00,0.22,0.968,0.345,0.065,0.733,1.211,0.195,0.694,0,0.016730664
1/2/2015 11:00,0.223,0.982,0.284,0.065,0.73,1.118,0.2,0.692,0,0.017004937
1/2/2015 12:00,0.224,0.997,0.321,0.065,0.742,1.047,0.219,0.693,0,0.017004937
1/2/2015 13:00,0.223,0.976,0.34,0.065,0.748,1.308,0.212,0.695,0,0.016730664
1/2/2015 14:00,0.224,0.991,0.259,0.065,0.758,1.16,0.213,0.699,0,0.017004937
1/2/2015 15:00,0.223,0.984,0.337,0.065,0.779,1.029,0.256,0.695,0,0.016730664
1/2/2015 16:00,0.218,0.962,0.318,0.065,0.793,1.092,0.237,0.695,0,0.016730664
1/2/2015 17:00,0.223,0.949,0.356,0.065,0.786,0.997,0.239,0.696,0.007177033,0.198299506
1/2/2015 18:00,0.217,0.928,0.347,0.065,0.726,1.009,0.207,0.693,0.009569378,0.944322545
1/2/2015 19:00,0.165,0.624,0.219,0.065,0.682,0.476,0.162,0.692,0.009569378,0.934997257
1/2/2015 20:00,0.054,0.024,0.06,0.065,0.652,0.379,0.159,0.688,0.009569378,0.930608886
1/2/2015 21:00,0,0,0,0.065,0.624,0.349,0.158,0.687,0.009569378,0.910861218
1/2/2015 22:00,0,0,0,0.065,0.621,0.339,0.158,0.687,0.009569378,0.881788261
1/2/2015 23:00,0,0,0,0.065,0.617,0.352,0.158,0.687,0.009569378,0.845035656
1/3/2015 0:00,0,0.008,0,0.065,0.624,0.379,0.15,0.681,0.007177033,0.825836533
1/3/2015 1:00,0,0,0,0.065,0.624,0.387,0.149,0.682,0.009569378,0.826933626
1/3/2015 2:00,0,0,0,0.065,0.621,0.4,0.148,0.68,0.009569378,0.775918815
1/3/2015 3:00,0,0,0,0.065,0.622,0.36,0.148,0.683,0.009569378,0.734777839
1/3/2015 4:00,0,0.003,0,0.065,0.621,0.403,0.148,0.683,0.009569378,0.75644542
1/3/2015 5:00,0,0.003,0,0.065,0.623,0.379,0.149,0.683,0.009569378,0.807185957
1/3/2015 6:00,0,0.003,0,0.065,0.623,0.379,0.149,0.682,0.007177033,0.798409216
1/3/2015 7:00,0.157,0.007,0.174,0.065,0.635,0.958,0.147,0.688,0.009569378,0.892759188
1/3/2015 8:00,0.165,0.381,0.233,0.065,0.638,0.964,0.158,0.69,0.009569378,0.056500274
1/3/2015 9:00,0.159,0.979,0.333,0.065,0.74,1.272,0.203,0.688,0.009569378,0.016456391
1/3/2015 10:00,0.158,0.964,0.324,0.065,0.792,1.082,0.206,0.691,0.009569378,0.016730664
1/3/2015 11:00,0.165,0.954,0.334,0.065,0.773,1.013,0.211,0.691,0.007177033,0.017004937
1/3/2015 12:00,0.165,0.975,0.322,0.065,0.762,1.191,0.208,0.691,0.009569378,0.01727921
1/3/2015 13:00,0.165,0.987,0.345,0.065,0.794,1.034,0.219,0.693,0.009569378,0.01727921
1/3/2015 14:00,0.165,0.987,0.324,0.065,0.783,1.057,0.213,0.692,0.009569378,0.017004937
1/3/2015 15:00,0.165,0.959,0.342,0.065,0.778,0.986,0.208,0.692,0.009569378,0.01727921
1/3/2015 16:00,0.201,0.818,0.287,0.065,0.688,0.999,0.186,0.694,0.007177033,0.012616566
1/3/2015 17:00,0.053,0,0.042,0.065,0.679,0.358,0.148,0.693,0.009569378,0.296763577
1/3/2015 18:00,0,0,0,0.065,0.638,0.375,0.148,0.686,0.009569378,0.923752057
1/3/2015 19:00,0.128,0.504,0.174,0.065,0.635,0.326,0.155,0.69,0.009569378,0.911684037
1/3/2015 20:00,0.022,0.017,0.025,0.068,0.624,0.359,0.151,0.687,0.009569378,0.951179375
1/3/2015 21:00,0.026,0.123,0.043,0.065,0.623,0.328,0.15,0.687,0.009569378,0.891662095
1/3/2015 22:00,0,0,0,0.065,0.62,0.35,0.15,0.686,0.009569378,0.848326934
1/3/2015 23:00,0,0,0,0.065,0.618,0.358,0.15,0.687,0.009569378,0.859572134
1/4/2015 0:00,0,0,0,0.065,0.646,0.355,0.188,0.688,0,0.795392211
1/4/2015 1:00,0,0,0,0.065,0.617,0.393,0.15,0.688,0,0.806088865
1/4/2015 2:00,0,0.002,0,0.065,0.616,0.393,0.149,0.689,0,0.782227098
1/4/2015 3:00,0,0,0,0.065,0.618,0.42,0.148,0.689,0,0.752605595
1/4/2015 4:00,0,0,0,0.065,0.617,0.425,0.148,0.686,0,0.722161273
1/4/2015 5:00,0,0,0,0.065,0.616,0.388,0.148,0.684,0,0.719144268
1/4/2015 6:00,0,0,0,0.065,0.618,0.425,0.148,0.684,0,0.743280307
1/4/2015 7:00,0,0,0,0.065,0.624,0.397,0.148,0.691,0,0.589687329
1/4/2015 8:00,0,0,0,0.065,0.622,0.415,0.148,0.693,0,0.012342293
1/4/2015 9:00,0,0,0,0.065,0.628,0.425,0.148,0.692,0,0.012342293
1/4/2015 10:00,0,0.036,0,0.065,0.63,0.387,0.149,0.693,0,0.012616566
1/4/2015 11:00,0.119,0.056,0.096,0.065,0.631,0.427,0.151,0.692,0,0.012616566
1/4/2015 12:00,0.053,0.097,0.059,0.065,0.628,0.426,0.148,0.692,0,0.012616566
1/4/2015 13:00,0.107,0.134,0.12,0.065,0.628,0.357,0.148,0.694,0,0.012616566
1/4/2015 14:00,0.11,0.047,0.122,0.065,0.628,0.358,0.148,0.694,0,0.012616566
1/4/2015 15:00,0.105,0.11,0.117,0.065,0.628,0.357,0.148,0.695,0,0.012616566
1/4/2015 16:00,0.058,0.069,0.064,0.065,0.627,0.319,0.148,0.691,0,0.012616566
1/4/2015 17:00,0.079,0,0.089,0.065,0.631,0.357,0.148,0.691,0,0.247942951
1/4/2015 18:00,0,0,0,0.065,0.63,0.354,0.148,0.686,0,0.910861218
1/4/2015 19:00,0,0,0,0.065,0.625,0.324,0.149,0.684,0,0.914701042
1/4/2015 20:00,0,0,0,0.065,0.625,0.359,0.15,0.686,0,0.909215579
1/4/2015 21:00,0.027,0.151,0.049,0.065,0.624,0.347,0.148,0.687,0,0.888096544
1/4/2015 22:00,0,0,0,0.065,0.62,0.329,0.148,0.691,0,0.852715304
1/4/2015 23:00,0,0,0,0.065,0.618,0.358,0.148,0.687,0,0.794843664
1/5/2015 0:00,0,0.015,0,0.065,0.6,0.345,0.147,0.681,0,0.774547449
1/5/2015 1:00,0,0.015,0,0.065,0.599,0.423,0.147,0.682,0,0.722161273
1/5/2015 2:00,0,0.013,0,0.065,0.598,0.457,0.146,0.683,0,0.713110258
