Date/Time,Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),AHU1 LIGHTS:Lights Electric Power [W](Hourly),AHU2 LIGHTS:Lights Electric Power [W](Hourly),AHU3 LIGHTS:Lights Electric Power [W](Hourly),AHU4 LIGHTS:Lights Electric Power [W](Hourly),AHU1:Zone Thermostat Air Temperature [C](Hourly),AHU1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),AHU2:Zone Thermostat Air Temperature [C](Hourly),AHU2:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),AHU3:Zone Thermostat Air Temperature [C](Hourly),AHU3:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),AHU4:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),AHU1 VRF TERMINAL UNIT:Zone VRF Air Terminal Total Cooling Rate [W](Hourly),AHU2 VRF TERMINAL UNIT:Zone VRF Air Terminal Total Cooling Rate [W](Hourly),AHU3 VRF TERMINAL UNIT:Zone VRF Air Terminal Total Cooling Rate [W](Hourly),AHU4 VRF TERMINAL UNIT:Zone VRF Air Terminal Total Cooling Rate [W](Hourly),LG ARUB121BTE4 VRF HEAT PUMP:VRF Heat Pump Total Cooling Rate [W](Hourly),LG ARUB121BTE4 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly),VRFCOOLCAPFT:Performance Curve Output Value [](Hourly) 
 01/01  01:00:00,0,5,0,15,0,65,25.56010697,25.56,25.56030271,25.56,25.38591259,25.56,25.56,178.0670617,0,0,667.3227792,1188.270209,0.15,0.764559624
 01/01  02:00:00,0,5,0,15,0,65,25.560055,25.56,25.56035843,25.56,25.17839643,25.56,25.56,64.60032763,0,0,669.545659,1061.75525,0.15,0.754065401
 01/01  03:00:00,0,5,0,13,0,65,25.56005592,25.56,25.56033258,25.56,25.09305278,25.56,25.56,37.15588546,0,0,670.4803456,1050.390087,0.15,0.751552806
 01/01  04:00:00,0,5,0,14,0,65,25.56005644,25.56,25.56038534,25.56,25.0035756,25.56,25.56,1.022681715,0,0,667.8813699,898.6307904,0.15,0.713698501
 01/01  05:00:00,0,5,0,14,0,65,25.56005637,25.56,25.56037856,25.56,24.94319421,25.56,25.56,0,0,0,668.9306973,921.2225336,0.15,0.719993153
 01/01  06:00:00,0,5,0,19,0,65,25.56005914,25.56,25.56037857,25.56,24.91811485,25.56,25.56,0,0,0,666.96939,877.3517202,0.15,0.706209475
 01/01  07:00:00,0,5,14,14,0,65,25.56005644,25.56,25.56037906,25.56,24.93303981,25.56,25.56,20.97584331,0,0,666.9317797,973.4273184,0.15,0.735873014
 01/01  08:00:00,0,5,199,210,196,65,22.30512109,22.22,22.29952527,22.22,22.26666586,22.22,22.22,3337.052673,3331.468066,1811.920912,1052.742103,10991.04942,0.247372065,0.809805834
 01/01  09:00:00,0,5,214,919,288,74,22.22384804,22.22,22.22221215,22.22,22.22313407,22.22,22.22,1510.729422,2764.17525,623.5333474,923.7197488,7249.16754,0.16583418,0.806351799
 01/01  10:00:00,0,5,197,865,293,65,22.2254611,22.22,22.22367506,22.22,22.22450704,22.22,22.22,2106.333825,3093.11621,1162.763074,861.370255,8635.153306,0.194757913,0.818296394
