"If incident beam > 100, viewglass no",,,,,,,,
Date/Time,AHU1 WIN NW OFFICE 1:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),AHU2 WIN NE BREAK ROOM:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),AHU3 WIN SE OFFICE 2:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),AHU3 WIN SW OFFICE:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),,,,
 01/01  01:00:00,0,0,0,0,0,0,0,0
 01/01  02:00:00,0,0,0,0,0,0,0,0
 01/01  03:00:00,0,0,0,0,0,0,0,0
 01/01  04:00:00,0,0,0,0,0,0,0,0
 01/01  05:00:00,0,0,0,0,0,0,0,0
 01/01  06:00:00,0,0,0,0,0,0,0,0
 01/01  07:00:00,0,0,0,0,0,0,0,0
 01/01  08:00:00,0,0,0,0,0,0,0,0
 01/01  09:00:00,0,1.20982822,9.160912556,0,0,0,0,0
 01/01  10:00:00,0,1.0826508,46.1577794,0.984920007,0,0,0,0
 01/01  11:00:00,0,0,56.34216918,11.57381336,0,0,1,0
 01/01  12:00:00,0,0,89.105014,42.98790366,0,0,1,0
 01/01  13:00:00,0,0,59.69793757,64.78353597,0,0,1,1
 01/01  14:00:00,0,0,33.37953935,83.55402492,0,0,0,1
 01/01  15:00:00,0,0,13.35666059,88.12547277,0,0,0,1
 01/01  16:00:00,2.079978623,0,0.359411399,51.95843066,0,0,0,1
 01/01  17:00:00,4.800922177,0,0,25.21650155,0,0,0,0
 01/01  18:00:00,0.71474025,0,0,2.382574923,0,0,0,0
 01/01  19:00:00,0,0,0,0,0,0,0,0
 01/01  20:00:00,0,0,0,0,0,0,0,0
 01/01  21:00:00,0,0,0,0,0,0,0,0
 01/01  22:00:00,0,0,0,0,0,0,0,0
 01/01  23:00:00,0,0,0,0,0,0,0,0
 01/01  24:00:00,0,0,0,0,0,0,0,0
 01/02  01:00:00,0,0,0,0,0,0,0,0
 01/02  02:00:00,0,0,0,0,0,0,0,0
 01/02  03:00:00,0,0,0,0,0,0,0,0
