Wh,AHU1 Lighting,AHU2 Lighting,AHU3 Lighting,AHU4 Lighting,AHU1 Plugs,AHU2 Plugs,AHU3 Plugs,AHU4 Plugs,Ext Lights
1/1/2015 0:00,0,12.9999998,0,64.99999997,110.9999999,404.0000001,157.9999999,682.0000001,2930
1/1/2015 1:00,0,13.99999963,0,64.99999997,110.9999999,446.9999991,157.9999999,682.9999999,2866
1/1/2015 2:00,0,13.99999963,0,64.99999997,110,438.0000005,157.9999999,683.9999998,2774
1/1/2015 3:00,0,12.9999998,0,64.99999997,110,479,157.0000001,682.9999999,2687
1/1/2015 4:00,0,10.00000031,0,64.99999997,110,450.9999999,159,682.9999999,2682
1/1/2015 5:00,0,9.000000486,0,64.99999997,112,466.0000006,159,682.0000001,2873
1/1/2015 6:00,0,9.000000486,0,64.99999997,110,469.0000008,156,682.9999999,3059
1/1/2015 7:00,150,244.9999996,198,64.99999997,110,992.0000004,157.0000001,687.9999998,3227
1/1/2015 8:00,48,231.9999998,79.99999992,19.00000002,22.00000001,246.9999994,66,173.0000004,631
1/1/2015 9:00,158,991.0000004,313,64.99999997,114,1296.000001,214.9999999,696,382
1/1/2015 10:00,163,964,294.9999999,64.99999997,128.9999999,1156,229.9999999,722,61
1/1/2015 11:00,144,933.0000002,249,64.99999997,123,1089,214.9999999,656.9999999,61
1/1/2015 12:00,144,929.9999997,301.9999999,64.99999997,123,1103,246,704.9999999,63
1/1/2015 13:00,145,983.9999996,276,64.99999997,110,1273,247.0000001,708.0000002,63
1/1/2015 14:00,150,1017,269,64.99999997,112,1158,241.9999999,700.9999999,64
1/1/2015 15:00,157,962.0000003,283.0000001,64.99999997,116,1095.999999,232.0000001,696.9999998,64
1/1/2015 16:00,165,904.0000001,336,64.99999997,128.0000001,1073.999999,250.9999999,691.0000001,63
1/1/2015 17:00,165,903.0000003,354.9999998,64.99999997,134.9999999,1013,249,692.9999997,934
1/1/2015 18:00,165,969.9999999,348.9999999,64.99999997,139.9999999,1054.000001,229.9999999,691.9999999,3415
1/1/2015 19:00,114,195.9999998,132.0000001,64.99999997,86.9999999,399.9999993,190.9999999,687,3350
1/1/2015 20:00,148,568.9999998,196.9999998,64.99999997,97.9999999,435.9999992,181.9999999,687.9999998,3385
1/1/2015 21:00,0,16.0000003,0,64.99999997,88.00000003,391.9999996,145.9999999,682.0000001,3315
1/1/2015 22:00,0,15.00000047,0,64.99999997,88.00000003,385.0000005,144,682.0000001,3049
1/1/2015 23:00,0,15.00000047,0,64.99999997,86.9999999,410.9999992,144,682.0000001,3099
1/2/2015 0:00,0,15.00000047,0,64.99999997,88.00000003,365.0000001,144,681.0000003,2903
1/2/2015 1:00,0,15.00000047,0,64.99999997,88.00000003,441.9999995,145.0000001,682.0000001,2804
1/2/2015 2:00,0,12.9999998,0,64.99999997,86.9999999,475.9999999,144,682.9999999,2904
1/2/2015 3:00,0,13.99999963,0,64.99999997,86.9999999,429.0000001,144,681.0000003,2820
1/2/2015 4:00,0,13.99999963,0,64.99999997,86.9999999,468.0000001,144,682.9999999,2961
1/2/2015 5:00,0,18.99999978,0,64.99999997,86.9999999,468.0000001,145.0000001,682.0000001,3002
1/2/2015 6:00,0,13.99999963,0,64.99999997,86.9999999,438.0000005,144,682.9999999,3062
1/2/2015 7:00,151,210.0000005,196.0000001,64.99999997,86.9999999,1037.000001,142.9999999,687.9999998,3200
1/2/2015 8:00,149,918.9999996,287.9999999,74,110,1142,165,692.9999997,1807
1/2/2015 9:00,140,864.9999997,293,64.99999997,139.0000001,1360.999999,210,692.9999997,51
1/2/2015 10:00,162,968.0000003,344.9999998,64.99999997,148.0000001,1260.000001,223.9999999,694.0000003,61
1/2/2015 11:00,166,981.9999999,284.0000002,64.99999997,136,1167,235.0000001,691.9999999,62
1/2/2015 12:00,166,997.0000004,321.0000002,64.99999997,150.0000001,1095.999999,252,692.9999997,62
1/2/2015 13:00,166,975.9999999,340,64.99999997,147,1357.000001,252,695.0000002,61
1/2/2015 14:00,166,991.0000004,259,64.99999997,150.0000001,1209,252,699.0000002,62
1/2/2015 15:00,166,983.9999996,337.0000001,64.99999997,161.0000001,1078,313.0000001,695.0000002,61
1/2/2015 16:00,165,962.0000003,317.9999998,64.99999997,171,1140.999999,286.0000001,695.0000002,61
1/2/2015 17:00,166,948.9999995,355.9999999,64.99999997,162,1045.999999,294,696,723
1/2/2015 18:00,165,928.0000001,347.0000001,64.99999997,139.0000001,1042,241.9999999,692.9999997,3443
1/2/2015 19:00,165,624.0000005,219,64.99999997,114,497.0000009,202.0000001,691.9999999,3409
1/2/2015 20:00,54,23.99999994,59.99999994,64.99999997,108.9999999,397.9999998,178.0000001,687.9999998,3393
1/2/2015 21:00,0,0,0,64.99999997,106.9999999,368.0000003,156,687,3321
1/2/2015 22:00,0,0,0,64.99999997,106.9999999,357.9999992,156,687,3215
1/2/2015 23:00,0,0,0,64.99999997,106.0000001,371.0000004,156,687,3081
1/3/2015 0:00,0,7.999999641,0,64.99999997,110.9999999,399.0000005,147,681.0000003,3011
1/3/2015 1:00,0,0,0,64.99999997,112,405.9999996,147,682.0000001,3015
1/3/2015 2:00,0,0,0,64.99999997,110,419.0000008,145.9999999,679.9999997,2829
1/3/2015 3:00,0,0,0,64.99999997,110,379.0000002,145.9999999,682.9999999,2679
1/3/2015 4:00,0,3.000000501,0,64.99999997,110,421.9999991,145.9999999,682.9999999,2758
1/3/2015 5:00,0,3.000000501,0,64.99999997,110.9999999,397.9999998,147,682.9999999,2943
1/3/2015 6:00,0,3.000000501,0,64.99999997,110.9999999,397.9999998,147,682.0000001,2911
1/3/2015 7:00,157,6.999999813,173.9999999,64.99999997,110,976.9999997,145.0000001,687.9999998,3255
1/3/2015 8:00,165,380.9999996,233.0000001,64.99999997,116,986.0000001,153,690.0000003,206
1/3/2015 9:00,159,979.0000004,333,64.99999997,145.9999999,1300,259.9999999,687.9999998,60
1/3/2015 10:00,158,964,324.0000001,64.99999997,172.0000001,1114,271.9999999,691.0000001,61
1/3/2015 11:00,165,953.9999996,334.0000001,64.99999997,174.0000001,1045,265.0000001,691.0000001,62
1/3/2015 12:00,165,975.0000001,321.9999999,64.99999997,159.0000001,1223,265.9999999,691.0000001,63
1/3/2015 13:00,165,987.0000001,344.9999998,64.99999997,165.0000001,1066,291,692.9999997,63
1/3/2015 14:00,165,987.0000001,324.0000001,64.99999997,169,1089,277.0000001,691.9999999,62
1/3/2015 15:00,165,958.9999998,341.9999999,64.99999997,160,1016,283.0000001,691.9999999,63
1/3/2015 16:00,165,817.9999997,287.0000001,64.99999997,114,1023.000001,223.9999999,694.0000003,46
1/3/2015 17:00,37,0,42.00000018,64.99999997,106.0000001,377.0000007,190.9999999,692.9999997,1082
1/3/2015 18:00,0,0,0,64.99999997,106.0000001,394.0000009,154.0000001,686.0000002,3368
1/3/2015 19:00,128,503.9999998,173.9999999,64.99999997,116,344.9999998,153,690.0000003,3324
1/3/2015 20:00,21,17.00000013,25.00000016,68.00000001,106.9999999,379.0000002,148.0000001,687,3468
1/3/2015 21:00,20,123.0000002,42.99999992,64.99999997,108.9999999,347.9999999,147,687,3251
1/3/2015 22:00,0,0,0,64.99999997,106.9999999,369.9999997,147,686.0000002,3093
1/3/2015 23:00,0,0,0,64.99999997,106.0000001,377.9999995,147,687,3134
1/4/2015 0:00,0,0,0,64.99999997,134.9999999,380.0000008,180,687.9999998,2900
1/4/2015 1:00,0,0,0,64.99999997,106.0000001,413.0000006,147,687.9999998,2939
1/4/2015 2:00,0,1.999999656,0,64.99999997,106.0000001,411.9999999,147,688.9999996,2852
1/4/2015 3:00,0,0,0,64.99999997,106.0000001,438.9999993,145.9999999,688.9999996,2744
1/4/2015 4:00,0,0,0,64.99999997,106.0000001,444.0000008,145.9999999,686.0000002,2633
1/4/2015 5:00,0,0,0,64.99999997,106.0000001,407.0000003,145.9999999,683.9999998,2622
1/4/2015 6:00,0,0,0,64.99999997,106.0000001,444.0000008,145.9999999,683.9999998,2710
1/4/2015 7:00,0,0,0,64.99999997,106.0000001,416.0000007,145.9999999,691.0000001,2150
1/4/2015 8:00,0,0,0,64.99999997,106.0000001,433.9999997,145.9999999,692.9999997,45
1/4/2015 9:00,0,0,0,64.99999997,106.0000001,444.0000008,145.9999999,691.9999999,45
1/4/2015 10:00,0,35.99999991,0,64.99999997,106.9999999,405.9999996,147,692.9999997,46
1/4/2015 11:00,86,55.99999952,95.99999983,64.99999997,106.9999999,446.9999991,148.0000001,691.9999999,46
1/4/2015 12:00,53,96.99999959,58.99999983,64.99999997,106.0000001,444.9999996,145.9999999,691.9999999,46
1/4/2015 13:00,107,134.0000003,119.9999999,64.99999997,106.0000001,376,145.9999999,694.0000003,46
1/4/2015 14:00,110,47.00000005,122.0000001,64.99999997,106.0000001,377.0000007,145.9999999,694.0000003,46
1/4/2015 15:00,105,110.0000004,116.9999999,64.99999997,106.0000001,376,145.9999999,695.0000002,46
1/4/2015 16:00,58,69.00000034,64.00000001,64.99999997,106.0000001,338.0000007,145.9999999,691.0000001,46
1/4/2015 17:00,79,0,89.00000017,64.99999997,106.0000001,376,145.9999999,691.0000001,904
1/4/2015 18:00,0,0,0,64.99999997,106.0000001,372.9999999,145.9999999,686.0000002,3321
1/4/2015 19:00,0,0,0,64.99999997,106.0000001,343.0000003,147,683.9999998,3335
1/4/2015 20:00,0,0,0,64.99999997,106.9999999,379.0000002,147,686.0000002,3315
