1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
‘ddd YYYY-MM-DD HH:MM’,Lights AHU1,Lights AHU2,Lights AHU3,Lights AHU4,Plugs AHU1,Plugs AHU2,Plugs AHU3,Plugs AHU4,Ext Lights,Int ATMs,Ext ATMs,Water Heater,Big Ass Fan,Transfer Fan,Exhaust Fan
Thu 2015-01-01 00:00,0,13,0,65,88,408,177,690,2930,500,229,0,0,4,0
Thu 2015-01-01 01:00,0,14,0,65,87,451,178,691,2866,498,231,0,1,4,0
Thu 2015-01-01 02:00,0,14,0,65,87,442,177,692,2774,497,228,0,0,4,0
Thu 2015-01-01 03:00,0,13,0,65,87,483,176,691,2687,497,229,0,0,4,0
Thu 2015-01-01 04:00,0,10,0,65,87,455,178,691,2682,498,230,0,0,4,0
Thu 2015-01-01 05:00,0,9,0,65,88,470,179,690,2873,499,228,0,1,3,0
Thu 2015-01-01 06:00,0,9,0,65,87,474,174,691,3059,500,230,0,0,4,0
Thu 2015-01-01 07:00,154,235,208,65,87,997,175,696,3227,502,231,9,1,4,1
Thu 2015-01-01 08:00,63,221,91,19,46,248,41,175,631,122,108,1430,21,1,51
Thu 2015-01-01 09:00,204,956,348,65,165,1285,175,704,382,516,212,261,52,2,109
Thu 2015-01-01 10:00,205,934,325,65,171,1131,213,730,61,511,270,0,75,4,179
Thu 2015-01-01 11:00,201,873,309,65,161,1078,188,664,61,488,257,0,75,304,178
Thu 2015-01-01 12:00,201,914,318,65,167,1102,203,713,63,514,264,0,72,372,179
Thu 2015-01-01 13:00,202,938,322,65,162,1261,207,716,63,506,287,600,74,371,178
Thu 2015-01-01 14:00,207,982,304,65,163,1147,202,709,64,511,283,1070,74,374,178
Thu 2015-01-01 15:00,214,923,322,65,173,1084,187,705,64,508,257,0,88,372,178
Thu 2015-01-01 16:00,222,927,313,65,182,1068,203,699,63,512,238,0,98,373,178
Thu 2015-01-01 17:00,222,897,361,65,192,1001,204,701,934,508,250,0,97,375,176
Thu 2015-01-01 18:00,223,958,361,65,188,1049,187,700,3415,514,243,0,1,373,3
Thu 2015-01-01 19:00,137,196,132,65,129,405,144,695,3350,507,240,0,0,375,0
Thu 2015-01-01 20:00,148,569,197,65,128,441,147,696,3385,507,239,0,1,373,0
Thu 2015-01-01 21:00,0,16,0,65,84,396,146,690,3315,502,238,0,0,373,0
Thu 2015-01-01 22:00,0,15,0,65,84,390,143,689,3049,499,232,10,0,371,0
Thu 2015-01-01 23:00,0,15,0,65,83,416,143,690,3099,498,234,0,0,372,0
Fri 2015-01-02 00:00,0,15,0,65,84,369,144,689,2903,498,230,0,0,375,0
Fri 2015-01-02 01:00,0,15,0,65,84,447,144,690,2804,497,230,0,1,373,0
Fri 2015-01-02 02:00,0,13,0,65,83,481,143,691,2904,497,232,0,0,373,0
Fri 2015-01-02 03:00,0,14,0,65,83,434,143,689,2820,499,230,0,0,375,0
Fri 2015-01-02 04:00,0,14,0,65,83,473,143,691,2961,497,233,0,0,375,0
Fri 2015-01-02 05:00,0,19,0,65,83,473,144,690,3002,497,233,0,1,373,0
Fri 2015-01-02 06:00,14,14,0,65,83,443,143,691,3062,498,232,0,0,366,0
Fri 2015-01-02 07:00,199,202,204,65,83,1042,142,696,3200,506,236,54,0,367,0
Fri 2015-01-02 08:00,214,850,357,74,100,1148,169,701,1807,508,269,1276,95,364,176
Fri 2015-01-02 09:00,197,858,300,65,171,1339,200,701,51,505,199,570,78,299,145
Fri 2015-01-02 10:00,220,958,355,65,191,1236,205,701,61,510,288,500,97,368,178
Fri 2015-01-02 11:00,223,904,362,65,191,1143,204,700,62,513,290,0,99,369,178
Fri 2015-01-02 12:00,224,957,361,65,186,1086,226,701,62,513,312,0,97,370,179
Fri 2015-01-02 13:00,223,956,360,65,192,1335,229,703,61,515,288,960,97,373,179
Fri 2015-01-02 14:00,224,918,332,65,192,1193,226,707,62,523,317,610,98,375,180
Fri 2015-01-02 15:00,223,968,353,65,223,1064,265,703,61,515,379,0,90,376,180
Fri 2015-01-02 16:00,218,945,335,65,221,1124,253,703,61,527,326,480,66,377,179
Fri 2015-01-02 17:00,223,944,361,65,219,1031,252,704,723,523,335,0,66,376,178
Fri 2015-01-02 18:00,217,918,357,65,156,1036,231,701,3443,522,247,0,1,373,2
Fri 2015-01-02 19:00,165,600,243,65,133,500,180,700,3409,510,233,0,0,375,0
Fri 2015-01-02 20:00,54,24,60,65,107,403,175,696,3393,508,233,0,0,373,0
Fri 2015-01-02 21:00,0,0,0,65,84,373,174,695,3321,503,229,0,0,377,0
Fri 2015-01-02 22:00,0,0,0,65,84,363,174,695,3215,500,228,0,1,374,0
Fri 2015-01-02 23:00,0,0,0,65,83,376,174,695,3081,497,228,0,0,374,0
Sat 2015-01-03 00:00,0,8,0,65,88,403,166,689,3011,499,232,0,0,3,0
Sat 2015-01-03 01:00,0,0,0,65,89,411,165,690,3015,498,231,0,0,4,0
Sat 2015-01-03 02:00,0,0,0,65,87,424,164,688,2829,497,231,0,1,4,0
Sat 2015-01-03 03:00,0,0,0,65,87,384,164,691,2679,498,230,0,0,4,0
Sat 2015-01-03 04:00,0,3,0,65,87,427,164,691,2758,497,231,0,0,4,0
Sat 2015-01-03 05:00,0,3,0,65,88,403,165,691,2943,498,230,0,0,4,0
Sat 2015-01-03 06:00,0,3,0,65,88,403,165,690,2911,498,231,0,1,3,0
Sat 2015-01-03 07:00,157,7,174,65,87,982,163,696,3255,511,234,9,0,4,0
Sat 2015-01-03 08:00,165,376,238,65,93,988,174,698,206,508,245,1361,121,4,179
Sat 2015-01-03 09:00,159,964,348,65,186,1299,221,696,60,512,304,0,122,4,179
Sat 2015-01-03 10:00,158,942,346,65,218,1107,233,699,61,525,265,550,93,4,178
Sat 2015-01-03 11:00,165,928,360,65,210,1039,235,699,62,516,321,0,73,3,178
Sat 2015-01-03 12:00,165,942,355,65,199,1217,232,699,63,516,308,0,74,4,179
Sat 2015-01-03 13:00,165,979,353,65,214,1059,249,701,63,528,290,0,74,4,179
Sat 2015-01-03 14:00,165,966,345,65,217,1083,235,700,62,521,270,0,72,4,178
Sat 2015-01-03 15:00,165,945,356,65,225,1012,222,700,63,516,256,0,1,4,1
Sat 2015-01-03 16:00,201,775,330,65,136,1023,202,702,46,515,244,0,0,3,0
Sat 2015-01-03 17:00,53,0,42,65,128,382,164,701,1082,514,240,0,1,4,0
Sat 2015-01-03 18:00,0,0,0,65,91,399,164,694,3368,510,233,0,0,4,0
Sat 2015-01-03 19:00,128,504,174,65,91,350,173,698,3324,505,233,10,0,4,0
Sat 2015-01-03 20:00,22,17,25,68,84,383,167,695,3468,503,243,0,0,4,0
Sat 2015-01-03 21:00,26,125,41,65,84,352,168,695,3251,500,237,0,1,4,0
Sat 2015-01-03 22:00,0,0,0,65,84,374,166,694,3093,499,233,0,0,4,0
Sat 2015-01-03 23:00,0,0,0,65,83,382,166,695,3134,498,233,0,0,4,0
Sun 2015-01-04 00:00,0,0,0,65,106,384,205,696,2900,497,232,0,0,4,0
Sun 2015-01-04 01:00,0,0,0,65,83,417,166,696,2939,497,231,0,0,4,0
Sun 2015-01-04 02:00,0,2,0,65,83,417,165,704,2852,496,230,0,1,4,0
Sun 2015-01-04 03:00,0,0,0,65,83,444,164,697,2744,498,230,0,0,4,0
Sun 2015-01-04 04:00,0,0,0,65,83,449,164,694,2633,497,230,0,0,4,0
Sun 2015-01-04 05:00,0,0,0,65,83,412,164,692,2622,496,229,0,0,3,0
Sun 2015-01-04 06:00,0,0,0,65,83,449,164,692,2710,498,230,0,1,4,0
Sun 2015-01-04 07:00,0,0,0,65,83,421,164,699,2150,504,232,0,0,4,0
Sun 2015-01-04 08:00,0,0,0,65,83,439,164,701,45,502,232,0,0,4,0
Sun 2015-01-04 09:00,0,0,0,65,83,449,164,700,45,508,232,0,0,4,0
Sun 2015-01-04 10:00,0,36,0,65,84,411,165,701,46,509,235,0,1,4,0
Sun 2015-01-04 11:00,119,56,96,65,84,451,167,700,46,510,238,0,0,4,0
Sun 2015-01-04 12:00,53,97,59,65,83,450,164,700,46,508,242,10,0,3,0
Sun 2015-01-04 13:00,107,134,120,65,83,381,164,702,46,508,239,0,0,4,0
Sun 2015-01-04 14:00,110,47,122,65,83,382,164,702,46,508,240,0,0,4,0
Sun 2015-01-04 15:00,105,110,117,65,83,381,164,703,46,508,237,0,1,4,0
Sun 2015-01-04 16:00,58,69,64,65,83,343,164,699,46,507,238,0,0,4,0
Sun 2015-01-04 17:00,79,0,89,65,83,381,164,699,904,511,240,0,0,4,0
Sun 2015-01-04 18:00,0,0,0,65,83,378,164,694,3321,510,235,0,0,4,0
Sun 2015-01-04 19:00,0,0,0,65,83,348,165,692,3335,505,238,0,1,4,0
Sun 2015-01-04 20:00,0,0,0,65,83,383,167,694,3315,504,242,0,0,4,0
Sun 2015-01-04 21:00,27,152,48,65,83,371,164,695,3238,504,232,0,0,3,0
Sun 2015-01-04 22:00,0,0,0,65,83,353,164,699,3109,500,234,0,0,4,0
Sun 2015-01-04 23:00,0,0,0,65,83,382,164,695,2898,498,229,0,1,4,0
Mon 2015-01-05 00:00,0,3,0,65,83,405,166,695,2824,497,232,0,0,4,0
Mon 2015-01-05 01:00,0,0,0,65,83,482,164,695,2633,498,230,0,0,4,0
Mon 2015-01-05 02:00,0,0,0,65,83,412,164,696,2600,498,231,0,0,4,0
Mon 2015-01-05 03:00,0,0,0,66,83,449,164,695,2603,497,228,0,0,4,0
Mon 2015-01-05 04:00,0,0,0,65,83,449,164,691,2637,497,226,0,1,3,0
Mon 2015-01-05 05:00,0,0,0,65,83,410,164,691,2762,498,231,10,0,4,0
Mon 2015-01-05 06:00,0,0,0,65,83,450,164,690,3103,501,230,0,0,4,0
Mon 2015-01-05 07:00,156,47,174,65,83,1009,164,699,3138,506,235,16,0,4,0
Mon 2015-01-05 08:00,217,915,343,65,118,1087,210,701,85,506,264,2144,74,3,177
Mon 2015-01-05 09:00,180,939,360,65,177,1237,243,699,61,504,326,10,71,4,177
Mon 2015-01-05 10:00,164,912,360,65,192,1128,240,696,61,507,242,0,72,4,178
