Date/Time,AHU1 WIN NW OFFICE 1:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),AHU2 WIN NE BREAK ROOM:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),AHU3 WIN SE OFFICE 2:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),AHU3 WIN SW OFFICE:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly) ,,NW,NE,SE,SW
 01/01  01:00:00,0,0,0,0,,0,0,0,0
 01/01  02:00:00,0,0,0,0,,0,0,0,0
 01/01  03:00:00,0,0,0,0,,0,0,0,0
 01/01  04:00:00,0,0,0,0,,0,0,0,0
 01/01  05:00:00,0,0,0,0,,0,0,0,0
 01/01  06:00:00,0,0,0,0,,0,0,0,0
 01/01  07:00:00,0,0,0,0,,0,0,0,0
 01/01  08:00:00,0,79.84297654,260.7303959,0,,0,1,1,0
 01/01  09:00:00,0,103.3218854,582.0009657,0,,0,1,1,0
 01/01  10:00:00,0,16.28974885,585.4610743,11.28669998,,0,0,1,0
 01/01  11:00:00,0,0,432.4832401,78.32916135,,0,0,1,1
 01/01  12:00:00,0,0,146.907708,67.88790202,,0,0,1,1
 01/01  13:00:00,0,0,120.7017634,135.7726606,,0,0,1,1
 01/01  14:00:00,0,0,93.73219393,229.3045339,,0,0,1,1
 01/01  15:00:00,0,0,15.3474758,94.9556359,,0,0,0,1
 01/01  16:00:00,4.996366917,0,0.450001332,97.3457973,,0,0,0,1
 01/01  17:00:00,22.2363684,0,0,112.5122435,,0,0,0,1
 01/01  18:00:00,6.221588224,0,0,20.1786538,,0,0,0,0
 01/01  19:00:00,0,0,0,0,,0,0,0,0
 01/01  20:00:00,0,0,0,0,,0,0,0,0
 01/01  21:00:00,0,0,0,0,,0,0,0,0
 01/01  22:00:00,0,0,0,0,,0,0,0,0
 01/01  23:00:00,0,0,0,0,,0,0,0,0
 01/01  24:00:00,0,0,0,0,,0,0,0,0
 01/02  01:00:00,0,0,0,0,,0,0,0,0
 01/02  02:00:00,0,0,0,0,,0,0,0,0
 01/02  03:00:00,0,0,0,0,,0,0,0,0
